session_id;seconds;gyrx;gyry;gyrz
46008;55872;"\x0000";"\x0030";"\xffe6"
46008;55873;"\x000f000b0022ffd8ffc9";"\x0010fff1000100100020";"\xffff00010002fff0fffc"
46008;55874;"\xffe5fffcfffdffe3ffa6";"\x00040000fff1ffd1ffcd";"\x000400000008000afffc"
46008;55875;"\xfffd002a000400050022";"\xffe8000affd500090004";"\xfffcfffc000c00060000"
46008;55876;"\xffcf001fffedfff4ffa5";"\xfff30011000a00050007";"\x0002ffeafffa0001fff8"
46008;55877;"\x0029fffeffe5ffa9fff3";"\xffed000e0002ffa5ffee";"\xfffc0001000c00210029"
46008;55878;"\xffce00000091ffec002a";"\xffffffe0004e00040032";"\x0026ffd80000fffffffa"
46008;55879;"\xfff8001400000009fffd";"\xffd5000effe4ffe20000";"\xffee0004000000020000"
46008;55880;"\x0005001f0010fff70005ffcb";"\xfffdffe5fff4001100120039";"\x000600130004ffe2fff4ffeb"
46008;55881;"\xfffafffd000effef0004";"\x000c0004fff8ffecfff9";"\x000000000002fff90000"
46008;55882;"\xfffe000a00000023ff0f";"\x0008000a0001ffd40004";"\x0002fffe0000ffecffa9"
46008;55883;"\xff33ffe30040095e034b";"\x0013ff3bfdb7fb3b0096";"\xfff500a600f401190204"
46008;55884;"\x0049fffdfffdffe10003";"\xfff5fffafff6fff8fff5";"\x0021fff70001fff60009"
46008;55885;"\x00000003fff200050007";"\xffffffff0007fffbfffa";"\x000300020007fffd0004"
46008;55886;"\x0003000100030002ffff";"\x00000000000000000004";"\x0000000100000000fffa"
46008;55887;"\xffff0004000000070014";"\xfffefffffffffffc0001";"\x00000001fffe0000fffe"
46008;55888;"\x000e00080002ffff";"\xfffafffafffcffff";"\x0005ffff0002fffe"
46008;55889;"\xffedffe9fffd00040004";"\x0014001500060005fffd";"\xffffffffffff0001fffe"
46008;55890;"\x000400060008ffa9feea";"\x00000000fff7ff3af63f";"\x000000010002003b01c3"
46008;55891;"\x0113fd8a01c6ff9eff64";"\x00b502a70513ffdc009f";"\xfb1b03680073ff8dff20"
46008;55892;"\x003bffc50017ffd90008";"\x000900610002000f0007";"\xffc3009efff8fffdfff4"
46008;55893;"\x00060004000000100006";"\x0001fff700000008fffd";"\xfff5fff9000900070000"
46008;55894;"\x0007000600060004fff9";"\x0007000a00040005fff9";"\x00070007000800010035"
46008;55895;"\x0002ffeaffeffff5fff7";"\x001a001d001b00180011";"\x000a000f000500010000"
46008;55896;"\x000100150026ffe90017";"\x000e0000fff00009fff6";"\x000afff5000300080001"
46008;55897;"\x000c000d000c0010000e";"\xfffbfffefffcfff70001";"\xffff000100020000ffff"
46008;55898;"\x0009fff9ff93f336fee3";"\xfffcfffbffc204b603d7";"\xfffe0000000402fd00ed"
46008;55899;"\xfd9c05200448ffe8";"\x01df024d0090006e";"\x0087ff28ff7c0034"
46008;55900;"\xff42fed2001100380041";"\x00ab001aff7b001b0003";"\x003300a0ffa30000ffed"
46008;55901;"\x00090059002d0027ffeb";"\x00010024ffff0003ffff";"\xfffb00190002ffff000c"
46008;55902;"\xff88ff53fff9001cffeb";"\x004b00910046ffe9ffdb";"\xfffa001900020014ffd5"
46008;55903;"\xfffcffd9ffde00aaffcd";"\x0004fff0ffeb002e0007";"\xffe20001fffcffcaffa5"
46008;55904;"\xfeac005800f8ff790329";"\xff88fedcfe880036fd9c";"\xffecff1effcc03fb010f"
46008;55905;"\x012101a0026f0141fff6";"\xfdcaffe2fe8fff7affc5";"\x01730009016a00e60002"
46008;55906;"\xffe1fff40004fff7fffc";"\x001cfff9fff9000e0000";"\x00060002ffff0006fff4"
46008;55907;"\xfffbfffc000dfffe0013";"\xffecfff6fffcfff5fff0";"\xffebffff0015fffdffff"
46008;55908;"\x0001000b0001000a0019";"\x0005fffefffd0007ffff";"\x00000000000f00130011"
46008;55909;"\xffec0004fff200010018";"\x000dffeafff0ffd8000a";"\x00060012001a00290008"
46008;55910;"\x0039ffff0017fffa0004";"\xffd4fff2fff300030000";"\x0008ffe2000dfffb0013"
46008;55911;"\x000f0020fff1fff5ffe4";"\xfff3ffcefffa00030013";"\x001e001500240027002a"
46008;55912;"\xffccfffaffc3ffcaffef";"\xfff3ffc5ffdcfff1ffbc";"\x003800210016002d002e"
46008;55913;"\xffb1ffafffa9ffbdffb1";"\xfff6ffbbffd1ffe3ffed";"\x0042001e002b0059004a"
46008;55914;"\xffacff8bff98ffabffa0";"\xffe3ffb0ffc2ffecfff4";"\x006a0009001b00550051"
46008;55915;"\xffb7ff7eff90ff72ffc3";"\xffdfffc6ffacffaaffd0";"\x0061004100260040001c"
46008;55916;"\xff7eff88ff73ffa5ff62";"\xffa9fff0ffc2ffc4ffc9";"\x006e009b005f00440039"
46008;55917;"\xff7dff9dff94ff9cff95";"\xffbaffc4ffbcffbcffb0";"\x0046005b006f00610053"
46008;55918;"\xff9aff98ff85ff9fff8f";"\xffd1ffd5ffc2ffc4ffc6";"\x0065005d0043003b003b"
46008;55919;"\xffc1ffa0ffb0fff7ffff";"\xffe6ffcbffbaffe80019";"\x004b0036000f002e0062"
46008;55920;"\xffeaffc9ff9bfff8fff7";"\x00130003fff600060009";"\x0024fff2ffdcfffefff6"
46008;55921;"\x000900090007000e0005";"\x001b000afffefffb0015";"\xfff6ffdeffeefff60005"
46008;55922;"\xffef001b0007002b0006";"\x000f0007fff10002000d";"\x000b0039ffe8ffee0021"
46008;55923;"\xfffc001a0006fff50000";"\x000c00090000002dfffd";"\x000e001f0015ffc10034"
46008;55924;"\x0040ffe40003fff7ffdf";"\xfff4fffeffe0000b001a";"\xfff70014002bfff2ffcf"
46008;55925;"\x003d001dffdfffb70000";"\x00210016000200300024";"\x00040021ffdfffe90039"
46008;55926;"\x003c000bffceffdafffd";"\xffeeffd8ffdd001cfffd";"\x0076fff7ffc0ffc8fffa"
46008;55927;"\x000f0007fffffff2000b";"\xffecfff3000c0005fff7";"\x000d00000005ffe40005"
46008;55928;"\xfffb000efffcfffcfff9";"\xfffeffe8fffa000ffff9";"\xfffc000600030018000d"
46008;55929;"\xffe9ffffffd40022fff8";"\x000b0003001b0000ffe4";"\xffe9fff500090076000c"
46008;55930;"\xfff6ffb6ffb3ffa0ffc7";"\x00080051009d007e005c";"\xffee000e000400220025"
46008;55931;"\xffe6000cfff6ffdeffed";"\x00080012fff80023003a";"\x0018001700210011000c"
46008;55932;"\x00030021002d0041005d";"\xfffcffb2ff71ff4eff54";"\x0007fff2ffd2ffd3ffe3"
46008;55933;"\x002c0001000b000a0004";"\xffc0ffd8ffecfffafffa";"\xffdb00290000fffb0000"
46008;55934;"\x000c0018ffef0000fff5";"\xfffdffda0008fff90005";"\x0005fff2fffffffefffb"
46008;55935;"\xfffe0001000800100006";"\x00010000fffafff0fff5";"\xfffeffff000000000009"
46008;55936;"\x000700210008fff5ffe4";"\xfffc0004002d0016001a";"\x0001000a0011fffdfff9"
46008;55937;"\xfffb0021ffd400050017";"\x000c0019ffcbffe4ffe7";"\x0000000bfffe00000007"
46008;55938;"\x00090001fff9ffe7ffef";"\xfff1fff30004000c001c";"\x000000010000ffeefffd"
46008;55939;"\x00010000000c0007fffa";"\x0008fff6fff6ffff0007";"\x0010fff900070001fffb"
46008;55940;"\x000800010008000afffe";"\xfffffffcfffaffffffff";"\xfffe0006fff800000001"
46008;55941;"\x000000000001fffc0005";"\x0002fffcffff0002fffa";"\xffff0000fffefffffff7"
46008;55942;"\x00090005fffe00030011";"\x0000fff90000ffff000a";"\xfffc000400010001000d"
46008;55943;"\xfffa0002fff8fff2fff7";"\xfffcfff70005000a001b";"\x0000ffff000100040009"
